"V1" "V2" "V3" "V4" "V5"
"1" 0.307380860044072 0.525864705117888 3.43398720448515 1.23615351646328 5
"2" 0.821106514702358 0.525812261785221 3.40119738166216 1.21774142063544 8
"3" 0.414034662823303 0.525786580716709 2.56494935746154 1.20068371729165 5
"4" 0.69093350934728 0.525850647314859 3.40119738166216 1.21774142063544 7
"5" 0.532648645060355 0.525727355294798 2.77258872223978 1.26898139628505 7
"6" 0.793424026431623 0.525704641863507 5.66988092298052 1.27752917704723 7
"7" 0.667639626731701 0.525716216986503 3.3322045101752 1.29943611965404 7
"8" 0.235800925678987 0.525857759884487 4.69134788222914 1.21774142063544 5
"9" 0.514171930298879 0.525763329244077 2.63905732961526 1.2231562025271 8
"10" 0.55959027447926 0.525748445225611 3.40119738166216 1.21774142063544 5
"11" 0.424743503517974 0.525931939285363 4.63472898822964 1.20361590921713 5
"12" 0 0.525897173295571 3.29583686600433 1.20651132140752 6
"13" 0.627559197550827 0.525820348580649 3.80666248977032 1.24844125756621 7
"14" 0.202795738224164 0.525748445225611 3.87120101090789 1.24114975015993 6
"15" 0.577079962362886 0.525816332872614 3.29583686600433 1.22844503506359 6
"16" 0.424743503517974 0.525803947210497 3.04452243772342 1.22046489585094 5
"17" 0.514171930298879 0.525843359145128 4.97673374242057 1.20937078612125 5
"18" 0.64379076479986 0.525900232043137 4.98360662170834 1.20361590921713 5
"19" 0.504765875584155 0.525791019054728 2.19722457733622 1.28776286127577 7
"20" 0.455846115700906 0.525748445225611 3.66356164612965 1.25081978247535 6
"21" 0.280226206470681 0.525864705117888 4.39444915467244 1.22581602710739 5
"22" 0.485593374830204 0.525795391650582 4.70953020131233 1.22844503506359 5
"23" 0.594223159592882 0.525884611191481 4.46590811865458 1.20937078612125 5
"24" 0.514171930298879 0.525874825899813 4.21950770517611 1.26679130139267 7
"25" 0.611042764511937 0.526133806196446 2.56494935746154 1.20937078612125 6
"26" 0.357407369450127 0.525653186460944 4.62497281328427 1.28975285458143 7
